epoch: 0, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.16589550623981372
epoch: 1, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.15722737241279652
epoch: 2, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.1527263547494738
epoch: 3, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.1501674549489108
epoch: 4, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.14848399944709892
epoch: 5, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.14732211318312602
epoch: 6, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.14641968913337053
epoch: 7, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.14573005211977919
epoch: 8, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.1451717687339329
epoch: 9, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.14466343321085773
epoch: 10, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.1443731670789488
epoch: 11, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.14403047031689795
epoch: 12, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.14366224449010048
epoch: 13, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.14347019881985137
epoch: 14, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.14321386769433586
epoch: 15, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.1430011639945727
epoch: 16, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.14279660021324944
epoch: 17, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.14260636827611325
epoch: 18, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.14247968339518532
epoch: 19, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.1422916886110606
epoch: 20, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.14220034504403986
epoch: 21, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.14204879891590816
epoch: 22, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.14189838685959721
epoch: 23, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.14180791383237898
epoch: 24, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.14167127027032692
epoch: 25, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.14155022959456923
epoch: 26, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.14143427276510143
epoch: 27, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.14135003630991502
epoch: 28, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.14125675872421092
epoch: 29, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.1411887063776545
epoch: 30, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.14109990703062816
epoch: 31, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.14104300031643943
epoch: 32, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.14096166765717358
epoch: 33, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.14087608165827184
epoch: 34, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.14055194006799787
epoch: 35, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.14030472679272535
epoch: 36, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.14014008017109011
epoch: 37, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.1400252490717974
epoch: 38, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.13991176702662642
epoch: 39, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.1398091586246036
epoch: 40, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.1396996532612349
epoch: 41, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.1395914217598406
epoch: 42, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.1394897130357817
epoch: 43, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.13937590264841573
epoch: 44, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.13927888357816323
epoch: 45, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.1391776107638772
epoch: 46, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.13907331179460555
epoch: 47, precision: 0.0, acc: 0.96875, recall: 0.0, loss: 0.13897533669696302
